Tweet ID,Tweet Text, Information Source, Information Type,Informativeness
2.95E+17,#SaNTaMaRIa ToMaNDo Con Mi eSPoSiTo Que aMo y Me HaCe Tan FeLiZ @travisscolt,Not labeled,Not labeled,Not related
2.95E+17,"RT @NandyAro24: Um parceiro foi na kiss pra ver, diz que houveram mortos, feridos e ainda tem uma gurizada presa dentro da boate, por fa ...",Eyewitness,Affected individuals,Related - but not informative
2.95E+17,"RT @siteZoom: Incêndio na Boate Kiss - Hospitais de Santa Maria requisitam ajuda de voluntários: médicos, enfermeiros e técnicos... http ...",Media,Donations and volunteering,Related and informative
2.95E+17,"RT @zerohora: Incêndio na boate Kiss, em Santa Maria, deixa dezenas de feridos. Segundo a Brigada Militar, há mortos no local.",Media,Affected individuals,Related and informative
2.95E+17,RT @RdGaucha: Polícia Civil confirma pelo menos 90 mortos em incêndio na Boate Kiss.,Media,Affected individuals,Related and informative
2.95E+17,"RT @BBCBreaking: Fire in nightclub in southern #Brazil city of Santa Maria leaves at least 70 dead, local media report http://t.co/zMddoBYh",Media,Affected individuals,Related and informative
2.95E+17,"At least 90 people die in a nightclub fire in southern Brazil, local media says: Remarque importante à... http://t.co/GfyDcFYi @romandie",Media,Affected individuals,Related and informative
2.95E+17,bandnews deuagora todos destaquesmdo dia e nada da tragédia na boate kiss. Que lixo,Media,Other Useful Information,Related - but not informative
2.95E+17,Dozens killed in Brazil nightclub fire http://t.co/hdBBr1uI,Media,Affected individuals,Related and informative
2.95E+17,"RT @storyfulpro: BRAZIL: At least 90 killed in fire in nightclub Kiss, Santa Maria. Fire started at 2.00am local. Diario de Santa Maria  ...",Media,Affected individuals,Related and informative
2.95E+17,Brazil Nightclub Fire: 'Ninety' Killed http://t.co/HvcJJ2w6,Media,Affected individuals,Related and informative
2.95E+17,"At least 90 killed in Brazil nightclub fire: A fire swept through a nightclub in southern Brazil, killing at lea... http://t.co/frASrrpR",Media,Affected individuals,Related and informative
2.95E+17,Caminhão chega à boate Kiss para buscar mais corpos. Será a terceira viagem.,Outsiders,Other Useful Information,Related and informative
2.95E+17,Local media: Brazil nightclub fire kills at least 90: SAO PAULO (Reuters) - At least 90 people were killed in a ... http://t.co/28kJmmzF,Media,Affected individuals,Related and informative
2.95E+17,Another lesson to nightclub owners; place safety first not revenue.  Brazil nightclub fire likely killed more than 200. http://t.co/BOgvHf50,Media,Affected individuals,Related and informative
2.95E+17,Official: 90 killed in Brazil nightclub fire http://t.co/gzy1UnkU #LetsDiscussIt,Media,Affected individuals,Related and informative
2.95E+17,RT @beethovendantas: Deus conforte os familiares das vitimas do incêndio da boate Kiss em Santa Monica. #LutoBrasil #Luto,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,At least 90 people killed in Brazil nightclub fire http://t.co/652uKBdC,Media,Affected individuals,Related and informative
2.96E+17,Brazil nightclub fire kills more than 200: police - Reuters: AFPBrazil nightclub fire kills mor... http://t.co/PJ4Dr3v4 #headlines #news,Media,Affected individuals,Related and informative
2.96E+17,"RT @marcoslauro: No FB da boate Kiss, subiram uma foto que, supostamente, é do momento em que os efeitos pirotécnicos começaram: https:/ ...",Outsiders,Other Useful Information,Related - but not informative
2.96E+17,@_jefergriebeler boate kiss de SM pego fogo,Outsiders,Other Useful Information,Related - but not informative
2.96E+17,"#LUTO pelos falecidos na tragédia na #boateKiss que DEUS console os familiares, amigos e conhecidos!",Outsiders,Sympathy and support,Related - but not informative
2.96E+17,RT @zerohora: Já passa de 180 o número de mortos em incêndio em Santa Maria #tragediaemsm http://t.co/JGnFJz0J,Media,Affected individuals,Related and informative
2.96E+17,#nepalnews Brazil nightclub fire likely killed more than 200: police: BRASILIA: A nightclub fire in southern Bra... http://t.co/xEBnK3Vg,Media,Affected individuals,Related and informative
2.96E+17,"Dying in a fire on a night out clubbing, is not a way to exit this world. RIP #SantaMaria 180.",Outsiders,Other Useful Information,Related - but not informative
2.96E+17,RT @CNN: At least 90 killed in Brazil  nightclub fire http://t.co/d2HLsFDT,Media,Affected individuals,Related and informative
2.96E+17,A tragédia em Santa Maria entristece o domingo dos brasileiros. Ao menos 180 mortos na boate Kiss http://t.co/a8pT5VI7,Media,Affected individuals,Related and informative
2.96E+17,At least 90 killed in Brazil nightclub fire - http://t.co/4sHAZdcs http://t.co/805mt3x4,Media,Affected individuals,Related and informative
2.96E+17,Como tinha show na boate se alvará?? #tragediaemsm,Outsiders,Other Useful Information,Related - but not informative
2.96E+17,At least 90 killed in Brazil nightclub fire: A fire swept through a popular nightclub in the southern Brazilian ... http://t.co/NBRFu4wn,Media,Affected individuals,Related and informative
2.96E+17,RT @SnottieDrippen: Club was fiyahhhh RT @AP: BREAKING: Police say at least 90 people dead in nightclub fire in southern Brazil,Outsiders,Affected individuals,Related and informative
2.96E+17,RT @CNN: At least 90 killed in Brazil  nightclub fire http://t.co/d2HLsFDT,Media,Affected individuals,Related and informative
2.96E+17,traumatizante esse vídeo da boate kiss,Outsiders,Other Useful Information,Related - but not informative
2.96E+17,RT @PorqueTTs: Santa Maria: Houve um incêndio na Boate Kiss de Santa Maria/RS e o número de mortos já ultrapassa de 250 pessoas. #PorqueTTs,Media,Affected individuals,Related and informative
2.96E+17,"RT @marcoslauro: No FB da boate Kiss, subiram uma foto que, supostamente, é do momento em que os efeitos pirotécnicos começaram: https:/ ...",Outsiders,Other Useful Information,Related - but not informative
2.96E+17,"JUST IN: Officials now confirm with @ShastaCNN that at least 220 people have been killed in the nightclub #fire in Santa Maria, #Brazil #CNN",Media,Affected individuals,Related and informative
2.96E+17,Jeebus RT @SkyNewsAust: 90 dead in Brazil nightclub fire http://t.co/b2B6hRxV,Media,Affected individuals,Related and informative
2.96E+17,Estão estimando 240 mortos #tragediaemsm,Media,Affected individuals,Related and informative
2.96E+17,"RT @unplaysson: @maiinardi_ santa maria, na boate kiss",Not labeled,Not labeled,Not related
2.96E+17,"RT @AP: BREAKING: Fire sweeps through Brazil nightclub, officials say 180 dead",Media,Affected individuals,Related and informative
2.96E+17,Gente vcs viram o incêndio da boate kiss mais de 240 mortos meus deus que tragedia e diz que os seguranças nao abriram as portas,Eyewitness,Affected individuals,Related and informative
2.96E+17,"RT @gabichanas: De tudo que ouvi, o relato que mais me partiu o coração: os celulares dos mortos não param de tocar. #SantaMaria",Outsiders,Other Useful Information,Related - but not informative
2.96E+17,"RT @cnnbrk: Death toll climbs to 220 in Brazil nightclub fire, official says. http://t.co/MKONrvLf",Media,Affected individuals,Related and informative
2.96E+17,"RT @lucassumaly: quero ver quem vai postar agora. Partiu, boate kiss.",Not labeled,Not labeled,Not related
2.96E+17,"RT @zerohora: Número de mortos na boate Kiss, em Santa Maria, pode chegar a 205 #tragediaemsm http://t.co/mDqeY27H",Media,Affected individuals,Related and informative
2.96E+17,"@alashock: JUST IN: Fire Sweeps Through Brazil Nightclub, Officials Say At Least 180 Dead And 200 Injured http://t.co/qgpWNyaY damn!",Media,Affected individuals,Related and informative
2.96E+17,"Meu deus! RT @zerohora: Número de mortos na boate Kiss, em Santa Maria, pode chegar a 205 #tragediaemsm http://t.co/MGOTgcwp",Media,Affected individuals,Related and informative
2.96E+17,【News】 Timeline: Fire in nightclub kills about 200 in Brazil - Reuters http://t.co/UuRwOvrN,Media,Affected individuals,Related and informative
2.96E+17,"RT @BBCBreaking: Death toll in #Brazil nightclub fire rises to 180, police in southern city of Santa Maria say http://t.co/96A7ztoK",Media,Affected individuals,Related and informative
2.96E+17,RT @fernandozanuzo: Um dono da Boate Kiss se apresentou à polícia. Paradeiro dos integrantes das bandas ainda desconhecido. @rdgaucha,Media,Other Useful Information,Related and informative
2.96E+17,RT @nypost: At least 180 people dead in Brazil nightclub fire http://t.co/4Q2CNcGe,Media,Affected individuals,Related and informative
2.96E+17,Energias positivas para as famílias de #SantaMaria que perderam algum parente.,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,"BBC News - Scores killed in nightclub fire in Santa Maria, Brazil http://t.co/6i9S8SBr",Media,Affected individuals,Related and informative
2.96E+17,"RT @AP: BREAKING: Fire sweeps through Brazil nightclub, officials say 180 dead",Media,Affected individuals,Related and informative
2.96E+17,"RT @binhoandtherush: só consigo imaginar os pais das pessoas que morreram,é muito triste :s  #SantaMaria",Outsiders,Sympathy and support,Related - but not informative
2.96E+17,Gente que tragédia em santa maria número de mortos chega a 245 #tragediaemSM,Outsiders,Affected individuals,Related and informative
2.96E+17,"RT @ebcnarede: Segundo o Corpo de Bombeiros, a maioria das mortes na Boate Kiss foi causada por asfixia devido à inalação de fumaça http ...",Government,Other Useful Information,Related and informative
2.96E+17,"“@BreakingNews: Update: Death toll from fire at nightclub in Santa Maria, southern Brazil, reaches 245, police say - @BBCNews” omg",Media,Affected individuals,Related and informative
2.96E+17,"Impossível não pensar em todas as boates sem estrutura, espalhadas por todo o Brasil... #tragediaemsm",Outsiders,Sympathy and support,Related - but not informative
2.96E+17,RT @LivroSoDeFrases: Mais de 180 mortos confirmados na tragédia de #SantaMaria. Infelizmente só nos resta torcer para que não aja mais m ...,Outsiders,Affected individuals,Related and informative
2.96E+17,RT @LivroSoDeFrases: Mais de 180 mortos confirmados na tragédia de #SantaMaria. Infelizmente só nos resta torcer para que não aja mais m ...,Outsiders,Affected individuals,Related and informative
2.96E+17,RT @LivroSoDeFrases: Mais de 180 mortos confirmados na tragédia de #SantaMaria. Infelizmente só nos resta torcer para que não aja mais m ...,Outsiders,Affected individuals,Related and informative
2.96E+17,que triste véi =/  #SantaMaria,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,Reading an article about a fire in a Brazil nightclub that killed 200. My daughter notices pic of smoke through club lights Pretty colors!,Outsiders,Affected individuals,Related and informative
2.96E+17,http://t.co/zesSHA7O NYC........  #SantaMaria,Media,Not applicable,Related - but not informative
2.96E+17,"RT @gabichanas: De tudo que ouvi, o relato que mais me partiu o coração: os celulares dos mortos não param de tocar. #SantaMaria",Outsiders,Sympathy and support,Related - but not informative
2.96E+17,Death toll in Brazil nightclub fire rises to 180 - USA TODAY: The GuardianDeath toll in Brazil nightclub fire ri... http://t.co/RETizXju,Media,Affected individuals,Related and informative
2.96E+17,RT @AP: BREAKING: Death toll rises to at least 245 in Brazil nightclub fire,Media,Affected individuals,Related and informative
2.96E+17,"Não perca só hoje no #BigFollow, ganhe mais pessoas do que segue!  #SantaMaria: -bigfollow.net",Not labeled,Not labeled,Not related
2.96E+17,#BigFollow só hoje: ganhe mais pessoas do que segue!  #SantaMaria: -bigfollow.net,Not labeled,Not labeled,Not related
2.96E+17,More than 150 dead in Brazil nightclub fire: RIO DE JANEIRO: More than 150 people died early Sunday when a fire ... http://t.co/DBmUyYJs,Media,Affected individuals,Related and informative
2.96E+17,"RT @MeusPensadores: Ajudem os acidentados de Santa Maria doando sangue! → Av. Pres. Vargas, 2291 - Santa Maria - RS, 97015-513 #SantaMaria",Outsiders,Donations and volunteering,Related and informative
2.96E+17,Que deus de forças aos familiares das vítimas da tragédia.#santamaria,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,RT @AP: BREAKING: Death toll rises to at least 245 in Brazil nightclub fire,Media,Affected individuals,Related and informative
2.96E+17,"OMG, que tragédia, domingo triste.  Confirmado: Mais de 245 mortos  #luto   #SantaMaria",Outsiders,Sympathy and support,Related and informative
2.96E+17,RT @AP: BREAKING: Death toll rises to at least 245 in Brazil nightclub fire,Media,Affected individuals,Related and informative
2.96E+17,Que DEUS de forças para essas famílias. #SantaMaria http://t.co/hkFWHaW3,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,"RT @MeusPensadores: Ainda que seja em oração, temos todos que ajudar! #SantaMaria #Luto #tragediaemsm",Outsiders,Sympathy and support,Related - but not informative
2.96E+17,Campeonato Gaúcho rodada cancelada devidpo a tragedia em Rio Grande em luto. #SantaMaria http://t.co/lHtv2cwr,Media,Other Useful Information,Related - but not informative
2.96E+17,RT @rafaellaaidar_: Que Deus conforte o coração dos familiares... #tragediaemsm,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,"RT @MeusPensadores: Ainda que seja em oração, temos todos que ajudar! #SantaMaria #Luto #tragediaemsm",Outsiders,Sympathy and support,Related - but not informative
2.96E+17,RT @oclumencia: Desejamos forças para os familiares e amigos de todas as vítimas da #tragediaemSM.,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,RT @nickjisblessed: que tragédia gente..to chocada :'( #SantaMaria,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,"Sem palavras para comentar a tragédia no RS. Apenas manifestar solidariedade aos familiares...#SantaMaria, Mãe de Deus, rogai por nós!",Outsiders,Sympathy and support,Related - but not informative
2.96E+17,"RT @PorqueTTs: Corpo de Bombeiros: Segundo o Corpo de Bombeiros a maioria das mortes causadas na boate Kiss, foram causadas por asfixia. ...",Media,Affected individuals,Related and informative
2.96E+17,Coronel:Eu abri a porta e desceu aquela barreira enorme de pessoas mortas! Faltou uma boa saída de emergência! Que lastimável! #SantaMaria,Eyewitness,Affected individuals,Related and informative
2.96E+17,RT @TullioMattos: Que Deus ajude e de forças aos familiares das vitimas de #SantaMaria,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,RT @nytimes: Scores Dead as Fire Sweeps Through Nightclub in Brazil http://t.co/fOdeKtI7,Media,Affected individuals,Related and informative
2.96E+17,"RT @ActualidadRT: URGENTE: Número de víctimas mortales en el incendio en #SantaMaria llega a 245, informa la policía http://t.co/h45gYfgi",Media,Affected individuals,Related and informative
2.96E+17,lol this made me laugh!!!  #SantaMaria http://t.co/fuic9s4s,Not labeled,Not labeled,Not related
2.96E+17,Que Deus ampare e conforte a família das vítimas na boate Kiss em Santa Maria / RS. SIGA @_HebertCardoso,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,"Perder alguém não é fácil, nada fácil. Força pelas familias das vitimas! #SantaMaria :(",Outsiders,Sympathy and support,Related - but not informative
2.96E+17,RT @RdGaucha: Confirmadas pelo menos 180 mortos no incêndio na Boate Kiss. Corpos estão sendo encaminhados ao Centro Desportivo de Santa ...,Media,Affected individuals,Related and informative
2.96E+17,"RT @PorqueTTs: #SantaMaria: Mais de 247 pessoas morreram após um incêndio na cidade de Santa Maria/RS, na boate Kiss. Twitteiros estão t ...",Media,Affected individuals,Related and informative
2.96E+17,"RT @MeusPensadores: Ajudem os acidentados de Santa Maria doando sangue! → Av. Pres. Vargas, 2291 - Santa Maria - RS, 97015-513 #SantaMaria",Outsiders,Donations and volunteering,Related and informative
2.96E+17,Só Jesus para confortar as famílias que estão passando por essa DOR. Tragédia na Boate Kiss - Santa Maria-RS http://t.co/yx5cdCaw,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,"DEADLY INFERNO: More Than 180 Killed in Brazil Nightclub Fire: Bus Crashes Into Ravine in Portugal, Killing 10Re... http://t.co/vfp4SukI",Media,Affected individuals,Related and informative
2.96E+17,RT @ABC7News: UPDATE: Death toll rises to 245 killed in Brazil nightclub fire. http://t.co/FH6Hy68u,Media,Affected individuals,Related and informative
2.96E+17,"RT @DiegoPignones: #SantaMaria está precisando de enfermeiros auxiliares, psicólogos e psiquiatras. Contato: Bia (55) 9155-2087.",Outsiders,Donations and volunteering,Related and informative
2.96E+17,"RT @valeria_bandida: Meu Deus, que tristeza esse incêndio em #SantaMaria - RS. Confirmado mais de 245 mortos, fé e força para todos os a ...",Outsiders,Sympathy and support,Related - but not informative
2.96E+17,"RT @umjovencitou: #SantaMaria - Que Deus ajude, e abençoe as famílias das vítimas desse incêndio, que teve mais de 200 mortos.",Outsiders,Sympathy and support,Related - but not informative
2.96E+17,RT @LucasnaRede_: Noticia triste e lamentável.Chocado com o número de pessoas q foram atingidas nesse acidente em #SantaMaria.Que Deus c ...,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,A @glendakozlowski está falando com a 'adolescente' #Bruna de 23 que sobreviveu a tragédia de #SantaMaria no Rio Grande do Sul!,Outsiders,Other Useful Information,Related and informative
2.96E+17,"RT @BBCBreaking: Death toll from fire at nightclub in Santa Maria in southern #Brazil has now reached 245, police say http://t.co/KOjmSdhw",Media,Affected individuals,Related and informative
2.96E+17,RT @folha_com: Dilma se emociona com tragédia no Rio Grande do Sul. http://t.co/LG7FWNaL #santamaria #tragediaemsm,Media,Sympathy and support,Related and informative
2.96E+17,#SantaMaria a porta principal estava trancada .... 90 % das pessoas morreram intoxicadas ...,Media,Affected individuals,Related and informative
2.96E+17,"#SantaMaria ATENÇÃO! Santa Maria avisa q precisa de enfermeiros, auxiliares, psicólogos, psiquiatras. Bia no telefone (55) 9155-2087",NGOs,Donations and volunteering,Related and informative
2.96E+17,"LUTO , realmente triste o que aconteceu, espero que Deus acalme e console o coração dos familiares e amigos das vítimas #SantaMaria",Outsiders,Sympathy and support,Related - but not informative
2.96E+17,"RT @OPabloSantana: #SantaMaria enfermeiros, auxiliares, psicólogos, psiquiatras. Contato: Bia (55) 9155-2087",Outsiders,Donations and volunteering,Related and informative
2.96E+17,Que tristeza.. sem palavras. Meus sentimentos aos familiares. RS de luto. #tragediaemsm #tragédiaSM,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,"RT @kaisha: Oh no! This is horrible! “@GGPolitics: BREAKING: Fire sweeps through Brazil nightclub, officials say at least 220 people are ...",Outsiders,Affected individuals,Related and informative
2.96E+17,RT @diariosm: Incêndio da Boate Kiss: Há riscos do prédio da boate desabar. Peritos de POA farão perícia sobre as causa do incêndio. #tr ...,Media,Infrastructure and utilities,Related and informative
2.96E+17,"Clubbers trampled in panic: A deadly nightclub fire has killed more than 200 people in Santa Maria, Brazil. http://t.co/4vwcxYWY #news",Media,Affected individuals,Related and informative
2.96E+17,RT @drangelocarbone: Incêndio  na boate Kiss em santa Maria: Testemunhas acusam boate de ter fechado a porta no… http://t.co/HidGW0e2 im ...,Media,Other Useful Information,Related and informative
2.96E+17,"RT @PodeArroz: #SantaMaria está precisando de enfermeiros auxiliares, psicólogos e psiquiatras. Contato: Bia (55) 9155-2087.",Outsiders,Donations and volunteering,Related and informative
2.96E+17,"Clubbers trampled in panic: A deadly nightclub fire has killed more than 200 people in Santa Maria, Brazil. http://t.co/pUvAdzeu",Media,Affected individuals,Related and informative
2.96E+17,What a terrible thing happened in #SantaMaria during the night! Fire in the club and the guys making you pay the bill to go out.,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,RT @nydailynews: At least 240 dead in southern Brazil nightclub fire http://t.co/MVaFrtyc,Media,Affected individuals,Related and informative
2.96E+17,"RT @LivroSoDeFrases: #SantaMaria - Que Deus ajude, e abençoe as famílias das vítimas desse incêndio, que teve mais de 200 mortos.",Outsiders,Sympathy and support,Related - but not informative
2.96E+17,"RT @LivroSoDeFrases: #SantaMaria - Que Deus ajude, e abençoe as famílias das vítimas desse incêndio, que teve mais de 200 mortos.",Outsiders,Sympathy and support,Related - but not informative
2.96E+17,#SantaMaria - http://t.co/c80FwGUR,Media,Not applicable,Related - but not informative
